Category,Question,Answer
معلومات عن العيادة / التخصص - Information about Clinic / Specialty,اعطني معلومات عن عيادة الأنف والأذن والحنجرة  Give me information about the ENT Clinic,"عيادة الأنف والأذن والحنجرة (ENT Clinic) تتخصص عيادة الأنف والأذن والحنجرة في تشخيص وعلاج جميع الأمراض المتعلقة بهذه الأجهزة الحيوية. تشمل خدماتنا: مشاكل السمع والطنين، التهابات الأذن المزمنة والحادة، التهاب الجيوب الأنفية المزمن، لحمية الأنف، انحراف الحاجز الأنفي، التهاب اللوزتين واللحمية (خاصة لدى الأطفال)، مشاكل الصوت والبلع، وأورام الرأس والرقبة. نوفر أحدث أجهزة الفحص بالمنظار لتشخيص دقيق، ونجري العمليات الجراحية اللازمة لضمان تحسين وظائف السمع والتنفس والبلع.  
 The ENT Clinic specializes in the diagnosis and treatment of all diseases related to these vital organs. Our services include: hearing problems and tinnitus, chronic and acute ear infections, chronic sinusitis, nasal polyps, deviated nasal septum, tonsillitis and adenoiditis (especially in children), voice and swallowing problems, and head and neck tumors. We provide the latest endoscopic examination equipment for accurate diagnosis and perform necessary surgical procedures to ensure improved hearing, breathing, and swallowing functions."
معلومات عن العيادة / التخصص - Information about Clinic / Specialty,اعطني معلومات عن عيادة المخ والأعصاب؟  ?Give me information about theNeurology Clinic,"عيادة المخ والأعصاب (Neurology Clinic) تتخصص عيادة المخ والأعصاب في تشخيص وعلاج أمراض الجهاز العصبي والدماغ والعمود الفقري. نقدم رعاية شاملة لحالات مثل: السكتات الدماغية، الصرع، الصداع المزمن، الشلل الرعاش، التصلب المتعدد، اضطرابات الذاكرة، وآلام الظهر والرقبة. نستخدم أحدث التقنيات لتقديم أفضل رعاية عصبية، بهدف تحسين جودة حياة المرضى واستعادة وظائفهم. The Neurology Clinic specializes in diagnosing and treating diseases of the nervous system, brain, and spine. We offer comprehensive care for conditions including: strokes, epilepsy, chronic headaches, Parkinson's disease, multiple sclerosis, memory disorders, and back and neck pain. Utilizing the latest technologies, our goal is to enhance patients' quality of life and restore their functions."
معلومات عن العيادة / التخصص - Information about Clinic / Specialty,اعطني معلومات عن عيادة الطب النفسي؟ ?Give me information about the Psychiatry Clinic,"عيادة الطب النفسي (Psychiatry Clinic) تتخصص عيادة الطب النفسي في تشخيص وعلاج الاضطرابات والمشاكل النفسية والسلوكية والعاطفية. نعمل على مساعدتك في استعادة توازنك النفسي وتحسين جودة حياتك. تشمل خدماتنا: الاكتئاب، القلق، اضطرابات المزاج والنوم، اضطرابات الأكل، الوسواس القهري، والتعامل مع الضغوط النفسية. نوفر أحدث طرق التشخيص والعلاج، بما في ذلك العلاجات الدوائية والجلسات النفسية المتخصصة مثل العلاج السلوكي المعرفي (CBT)، لضمان شفائك والعودة لحياة أكثر استقراراً وسعادة. The Psychiatry Clinic specializes in diagnosing and treating mental, behavioral, and emotional disorders and problems. We help you restore your psychological balance and improve your quality of life. Our services include: depression, anxiety, mood and sleep disorders, eating disorders, OCD, and coping with psychological stress. We provide the latest diagnostic and treatment methods, including medication and specialized psychotherapy sessions like CBT, to ensure your recovery and a return to a more stable and happier life."
معلومات عن العيادة / التخصص - Information about Clinic / Specialty,اعطني معلومات عن قسم الأشعة Give me information about the Radiology Department,"قسم الأشعة (Radiology Department) قسم الأشعة لدينا مجهز بأحدث أجهزة التصوير الطبي لتقديم تشخيص دقيق وسريع. تشمل خدماتنا: الأشعة السينية (X-Ray)، الأشعة المقطعية (CT Scan) متعددة الشرائح، الرنين المغناطيسي (MRI) عالي الدقة، الموجات فوق الصوتية (Ultrasound)، وأشعة الدوبلر الملونة. تُستخدم هذه التقنيات لتصوير جميع أجزاء الجسم، بما في ذلك العظام، الأعضاء الداخلية، الأوعية الدموية، والأنسجة الرخوة، مما يساعد الأطباء في مختلف التخصصات على وضع خطط علاجية فعالة ومتابعة تطور الحالات بدقة. 
 Our Radiology Department is equipped with the latest medical imaging devices to provide accurate and rapid diagnosis. Our services include: X-Ray, multi-slice CT Scan, high-resolution MRI, Ultrasound, and Color Doppler. These technologies are used to image all parts of the body, including bones, internal organs, blood vessels, and soft tissues, helping physicians across various specialties to develop effective treatment plans and precisely monitor the progression of conditions."
معلومات عن العيادة / التخصص - Information about Clinic / Specialty,اعطني معلومات عن قسم التحاليل الطبية Give me information about the Medical Laboratoriest,"قسم التحاليل الطبية (Medical Laboratories) يقدم قسم التحاليل الطبية لدينا مجموعة شاملة من الاختبارات المعملية الدقيقة التي تعتبر حجر الزاوية في التشخيص والعلاج الحديث. تشمل خدماتنا: تحاليل الدم الشاملة، تحاليل وظائف الكلى والكبد، تحاليل السكري، تحاليل الهرمونات، تحاليل الفيتامينات، تحاليل الأمراض المعدية، تحاليل الأورام، وتحاليل البول والبراز. نلتزم بأعلى معايير الجودة والدقة في جميع الفحوصات لضمان نتائج موثوقة تساعد الأطباء على اتخاذ القرارات العلاجية الصحيحة ومتابعة استجابة المريض للعلاج. 
 Our Medical Laboratories department offers a comprehensive range of accurate laboratory tests that are the cornerstone of modern diagnosis and treatment. Our services include: complete blood count, kidney and liver function tests, diabetes tests, hormone tests, vitamin tests, infectious disease tests, tumor markers, and urine and stool analyses. We adhere to the highest quality and accuracy standards in all examinations to ensure reliable results that help physicians make correct treatment decisions and monitor patient response to therapy."
معلومات عن العيادة / التخصص - Information about Clinic / Specialty,اعطني معلومات عن وحدات العناية المركزة  Give me information about the Intensive Care Units - ICUs,"وحدات العناية المركزة (Intensive Care Units - ICUs) توفر مستشفانا وحدات عناية مركزة متخصصة ومجهزة بأحدث الأجهزة لدعم الحياة، بما في ذلك: العناية المركزة العامة (General ICU)، العناية المركزة للقلب (Cardiac ICU)، ووحدة العناية المركزة لحديثي الولادة (NICU). يعمل في هذه الوحدات فريق طبي وتمريضي مؤهل ومدرب على أعلى مستوى، متخصص في رعاية الحالات الحرجة التي تتطلب مراقبة مستمرة ودقيقة، دعمًا للتنفس، وظائف القلب، والكلى. نلتزم بتقديم رعاية فائقة الجودة لضمان استقرار حالة المرضى الحرجة وتحسين فرص تعافيهم. 
 Our hospital provides specialized intensive care units equipped with the latest life support devices, including: General ICU, Cardiac ICU, and Neonatal Intensive Care Unit (NICU). These units are staffed by a highly qualified and trained medical and nursing team specializing in critical care that requires continuous and precise monitoring, respiratory support, cardiac function, and kidney function. We are committed to providing superior quality care to ensure the stability of critically ill patients and improve their chances of recovery."
معلومات عن العيادة / التخصص ( الدكاتره و المواعيد) - Information about Clinic / Specialty (doctors and Appointments),What are the appointments in the Internal Medicine Clinic? ما هي المواعيد في عيادة  الباطنة؟,"د. محمود كمال (Dr. Mahmoud Kamal)
الأحد، الثلاثاء، الخميس: 10:00 صباحًا - 3:00 مساءً 
 Sunday, Tuesday, Thursday: 10:00 AM - 3:00 PM
د. إيناس فكري (Dr. Enas Fekry)
الاثنين، الأربعاء: 2:00 ظهرًا - 7:00 مساءً 
 الجمعة: 10:00 صباحًا - 2:00 ظهرًا 
 Monday, Wednesday: 2:00 PM - 7:00 PM 
 Friday: 10:00 AM - 2:00 PM
د. هشام زكي (Dr. Hisham Zaki)
السبت، الإثنين، الأربعاء: 9:00 صباحًا - 2:00 ظهرًا 
 Saturday, Monday, Wednesday: 9:00 AM - 2:00 PM"
معلومات عن العيادة / التخصص ( الدكاتره و المواعيد) - Information about Clinic / Specialty (doctors and Appointments),What are the appointments in the ICardiology & Vascular Clinic ? ما هي المواعيد في عيادة القلب والأوعية الدموية؟,"د. عادل حسان (Dr. Adel Hassan)
الأحد، الثلاثاء، الخميس: 11:00 صباحًا - 4:00 مساءً 
 Sunday, Tuesday, Thursday: 11:00 AM - 4:00 PM
د. مروة جمال (Dr. Marwa Gamal)
الاثنين، الأربعاء: 1:00 ظهرًا - 6:00 مساءً 
 Monday, Wednesday: 1:00 PM - 6:00 PM
د. خالد نور (Dr. Khaled Nour)
السبت، الأحد، الثلاثاء: 9:00 صباحًا - 1:00 ظهرًا 
 Saturday, Sunday, Tuesday: 9:00 AM - 1:00 PM"
معلومات عن العيادة / التخصص ( الدكاتره و المواعيد) - Information about Clinic / Specialty (doctors and Appointments),What are the appointments in the Gastroenterology & Endoscopy Clinic? ما هي المواعيد في عيادة الجهاز الهضمي والمناظير؟,"د. شريف منصور (Dr. Sherif Mansour)
الأحد، الثلاثاء: 9:00 صباحًا - 2:00 ظهرًا 
 الأربعاء: 3:00 مساءً - 8:00 مساءً 
 Sunday, Tuesday: 9:00 AM - 2:00 PM 
 Wednesday: 3:00 PM - 8:00 PM
د. ريهام صبري (Dr. Reham Sabry)
الاثنين، الخميس: 10:00 صباحًا - 3:00 مساءً 
 Monday, Thursday: 10:00 AM - 3:00 PM
د. وائل فريد (Dr. Wael Farid)
السبت، الأربعاء: 4:00 مساءً - 9:00 مساءً 
 Saturday, Wednesday: 4:00 PM - 9:00 PM"
معلومات عن العيادة / التخصص ( الدكاتره و المواعيد) - Information about Clinic / Specialty (doctors and Appointments),What are the appointments in the Orthopedics & Joints Clinic? ما هي المواعيد في عيادة العظام والمفاصل؟,"د. أيمن السعدني (Dr. Ayman El-Saadany)
الاثنين، الأربعاء: 11:00 صباحًا - 4:00 مساءً 
 Monday, Wednesday: 11:00 AM - 4:00 PM
د. ليلى أمين (Dr. Leila Amin)
الأحد، الخميس: 2:00 ظهرًا - 7:00 مساءً 
 Sunday, Thursday: 2:00 PM - 7:00 PM
د. طارق البدري (Dr. Tarek El-Badry)
السبت، الثلاثاء، الأربعاء: 9:00 صباحًا - 1:00 ظهرًا 
 Saturday, Tuesday, Wednesday: 9:00 AM - 1:00 PM"
معلومات عن العيادة / التخصص ( الدكاتره و المواعيد) - Information about Clinic / Specialty (doctors and Appointments),What are the appointments in the Obstetrics & Gynecology Clinic? ما هي المواعيد في عيادة النساء والتوليد؟,"د. نسرين علام (Dr. Nesrine Allam)
الأحد، الثلاثاء، الخميس: 1:00 ظهرًا - 6:00 مساءً 
 Sunday, Tuesday, Thursday: 1:00 PM - 6:00 PM
د. ياسمين الشاذلي (Dr. Yasmin El-Shazly)
الاثنين، الأربعاء: 9:00 صباحًا - 2:00 ظهرًا 
 Monday, Wednesday: 9:00 AM - 2:00 PM
د. مجدي رزق (Dr. Magdy Rizk)
السبت، الأحد: 4:00 مساءً - 9:00 مساءً 
 Saturday, Sunday: 4:00 PM - 9:00 PM"
معلومات عن العيادة / التخصص ( الدكاتره و المواعيد) - Information about Clinic / Specialty (doctors and Appointments),What are the appointments in the Pediatrics & Neonatology Clinic? ما هي المواعيد في عيادة الأطفال وحديثي الولادة؟,"د. منى رفعت (Dr. Mona Refaat)
الأحد، الإثنين، الأربعاء: 10:00 صباحًا - 3:00 مساءً 
 Sunday, Monday, Wednesday: 10:00 AM - 3:00 PM
د. كريم مختار (Dr. Karim Mokhtar)
الثلاثاء، الخميس: 1:00 ظهرًا - 6:00 مساءً 
 Tuesday, Thursday: 1:00 PM - 6:00 PM
د. سارة عيسى (Dr. Sara Eissa)
السبت: 11:00 صباحًا - 4:00 مساءً 
 Saturday: 11:00 AM - 4:00 PM"
معلومات عن العيادة / التخصص ( الدكاتره و المواعيد) - Information about Clinic / Specialty (doctors and Appointments),What are the appointments in the Urology Clinic? ما هي المواعيد في عيادة المسالك البولية ؟,"د. أحمد سامي (Dr. Ahmed Samy)
الاثنين، الأربعاء، الخميس: 10:00 صباحًا - 3:00 مساءً 
 Monday, Wednesday, Thursday: 10:00 AM - 3:00 PM
د. هبة عبد الرحمن (Dr. Heba Abdelrahman)
الأحد، الثلاثاء: 2:00 ظهرًا - 7:00 مساءً 
 Sunday, Tuesday: 2:00 PM - 7:00 PM
د. محمد فؤاد (Dr. Mohamed Fouad)
السبت، الثلاثاء: 9:00 صباحًا - 1:00 ظهرًا 
 Saturday, Tuesday: 9:00 AM - 1:00 PM"
معلومات عن العيادة / التخصص ( الدكاتره و المواعيد) - Information about Clinic / Specialty (doctors and Appointments),"What are the appointments in the Dermatology, Aesthetics & Laser Clinic? ما هي المواعيد في عيادة الجلدية والتجميل والليزر؟","د. ريم مصطفى (Dr. Reem Mostafa)
الأحد، الأربعاء: 12:00 ظهرًا - 5:00 مساءً 
 Sunday, Wednesday: 12:00 PM - 5:00 PM
د. حسام عابد (Dr. Hussam Abed)
الاثنين، الخميس: 3:00 مساءً - 8:00 مساءً 
 Monday, Thursday: 3:00 PM - 8:00 PM
د. نوران الشناوي (Dr. Nouran El-Shennawy)
السبت، الثلاثاء: 10:00 صباحًا - 3:00 مساءً 
 Saturday, Tuesday: 10:00 AM - 3:00 PM"
معلومات عن العيادة / التخصص ( الدكاتره و المواعيد) - Information about Clinic / Specialty (doctors and Appointments),What are the appointments in the ENT Clinic? ما هي المواعيد في عيادة الأنف والأذن والحنجرة؟,"د. شريف عزت (Dr. Sherif Ezzat)
الأحد، الثلاثاء: 9:00 صباحًا - 2:00 ظهرًا 
 Sunday, Tuesday: 9:00 AM - 2:00 PM
د. دينا مجدي (Dr. Dina Magdy)
الاثنين، الأربعاء: 1:00 ظهرًا - 6:00 مساءً 
 Monday, Wednesday: 1:00 PM - 6:00 PM
د. عمر سليم (Dr. Omar Selim)
الخميس، السبت: 11:00 صباحًا - 4:00 مساءً 
 Thursday, Saturday: 11:00 AM - 4:00 PM"
معلومات عن العيادة / التخصص ( الدكاتره و المواعيد) - Information about Clinic / Specialty (doctors and Appointments),ما هي المواعيد في عيادة المخ والاعصاب؟ ?What are the appointment times for the Neurology Clinic,"د. كريم فؤاد (Dr. Karim Fouad)
الأحد، الثلاثاء، الخميس: 10:00 صباحًا - 3:00 مساءً | Sunday, Tuesday, Thursday: 10:00 AM - 3:00 PM
د. نوران محمود (Dr. Nourhan Mahmoud)
الاثنين، الأربعاء: 4:00 مساءً - 8:00 مساءً | Monday, Wednesday: 4:00 PM - 8:00 PM
د. يوسف طارق (Dr. Yousef Tarek)
السبت: 11:00 صباحًا - 5:00 مساءً | Saturday: 11:00 AM - 5:00 PM"
معلومات عن العيادة / التخصص ( الدكاتره و المواعيد) - Information about Clinic / Specialty (doctors and Appointments),ما هي المواعيد في عيادة الطب النفسي ?What are the appointment times for the psychiatry clinic,"د. ليلى فخري (Dr. Laila Fakhry)
الأحد، الثلاثاء: 10:00 صباحًا - 4:00 مساءً | Sunday, Tuesday: 10:00 AM - 4:00 PM
د. خالد عثمان (Dr. Khaled Osman)
الاثنين، الأربعاء، الخميس: 5:00 مساءً - 9:00 مساءً | Monday, Wednesday, Thursday: 5:00 PM - 9:00 PM
د. سارة جمال (Dr. Sara Gamal)
السبت: 11:00 صباحًا - 3:00 مساءً | Saturday: 11:00 AM - 3:00 PM"
معلومات عن العيادة / التخصص ( الدكاتره و المواعيد) - Information about Clinic / Specialty (doctors and Appointments),Who are the doctors in the radiology department? من هم الاطباء في قسم الاشعة ؟,"استشاري أشعة تشخيصية (Diagnostic Radiology Consultant)
د. كريم فتحي (Dr. Karim Fathy)
أخصائي أشعة (Radiology Specialist)
د. نورا حسني (Dr. Nora Hosny)
فني أشعة أول (Senior Radiology Technologist)
أ. حسام عادل (Mr. Hussam Adel)"
معلومات عن العيادة / التخصص ( الدكاتره و المواعيد) - Information about Clinic / Specialty (doctors and Appointments),What are the appointments in the Medical Laboratories Department? من هم الاطباء في قسم التحاليل الطبية (المعمل)؟,"استشاري تحاليل طبية/باثولوجيا إكلينيكية (Clinical Pathology Consultant)
د. عبير محمود (Dr. Abeer Mahmoud)
أخصائي تحاليل طبية (Medical Analysis Specialist)
د. زياد طارق (Dr. Ziad Tarek)
أخصائي ميكروبيولوجيا طبية (Medical Microbiology Specialist)
د. نهى سليمان (Dr. Noha Soliman)
فني مختبر أول (Senior Lab Technologist)
أ. مروان جمال (Mr. Marwan Gamal)"
معلومات عن العيادة / التخصص ( الدكاتره و الاسعار) -  Information about Clinic / Specialty (doctors and prices),What are the consultation fees for the internal medicine clinic? ماهي اسعار عيادة الباطنة؟,"د. محمود كمال (Dr. Mahmoud Kamal)
650 جنيه مصري / 650 EGP
د. إيناس فكري (Dr. Enas Fekry)
600 جنيه مصري / 600 EGP
د. هشام زكي (Dr. Hisham Zaki)
600 جنيه مصري / 600 EGP"
